100,0.000185417,533
200,0.000397583,1271
300,0.000639625,2095
400,0.000873125,2953
500,0.00112188,3864
600,0.0013985,4781
700,0.00176783,5745
800,0.00202458,6712
900,0.00217404,7716
1000,0.00248492,8733
1100,0.00295883,9755
1200,0.00323912,10770
1300,0.00746354,11837
1400,0.00387754,12885
1500,0.00426417,13965
1600,0.00458125,15036
1700,0.00479463,16145
1800,0.00511667,17210
1900,0.00543583,18298
2000,0.00575675,19448
2100,0.00606963,20542
2200,0.006193,21712
2300,0.00669533,22841
2400,0.006947,23980
2500,0.00748138,25144
2600,0.00769917,26259
2700,0.00800946,27447
2800,0.00850083,28581
2900,0.00885958,29756
3000,0.00909012,30906
