100,0.000224333,560
200,0.000456667,1302
300,0.000369208,504
400,0.000515875,793
500,0.000688584,1105
600,0.000882875,1484
700,0.001052,1818
800,0.00122237,2183
900,0.00141683,2564
1000,0.00161921,2994
1100,0.00182746,3427
1200,0.00201812,3878
1300,0.00220875,4283
1400,0.00242546,4751
1500,0.00263262,5223
1600,0.00286483,5698
1700,0.00309217,6237
1800,0.00341971,6784
1900,0.00354233,7206
2000,0.00374358,7716
2100,0.00393808,8183
2200,0.00419654,8630
2300,0.00451629,9278
2400,0.00465417,9773
2500,0.00482696,10294
2600,0.00504971,10827
2700,0.00546746,11436
2800,0.00556392,11963
2900,0.00585229,12602
3000,0.00607746,13164
