100,0.000234375,580
200,0.000473125,1291
300,0.000718292,2023
400,0.000994958,2869
500,0.00127704,3680
600,0.00158158,4484
700,0.00186663,5369
800,0.00212442,6329
900,0.00238513,7259
1000,0.00266417,8191
1100,0.00299808,9122
1200,0.00328242,10039
1300,0.00363692,11018
1400,0.00389688,11980
1500,0.00432425,13007
1600,0.00461608,14050
1700,0.00491717,15064
1800,0.00863237,16100
1900,0.00542121,17256
2000,0.00584475,18123
2100,0.00599804,19135
2200,0.00635808,20250
2300,0.00678838,21184
2400,0.00722058,22265
2500,0.00757183,23301
2600,0.0209289,24387
2700,0.00799983,25450
2800,0.00852496,26546
2900,0.00880354,27602
3000,0.0089165,28699
