100,0.000145917,533
200,0.000308667,1271
300,0.000492542,2095
400,0.000673584,2953
500,0.00087375,3864
600,0.00106437,4781
700,0.00127317,5745
800,0.00147488,6712
900,0.00169483,7716
1000,0.00184358,8733
1100,0.00211046,9755
1200,0.00233788,10770
1300,0.00396467,11837
1400,0.00261729,12885
1500,0.00282042,13965
1600,0.00302842,15036
1700,0.00323021,16145
1800,0.00352892,17210
1900,0.00366492,18298
2000,0.00385079,19448
2100,0.00451325,20542
2200,0.00445629,21712
2300,0.0046895,22841
2400,0.00507683,23980
2500,0.00511771,25144
2600,0.00548658,26259
2700,0.009879,27447
2800,0.00585104,28581
2900,0.00627096,29756
3000,0.00628979,30906
