100,0.000126292,392
200,0.000275417,999
300,0.000454,1731
400,0.000646084,2544
500,0.000808083,3271
600,0.00094475,4067
700,0.00113863,4822
800,0.00130117,5693
900,0.00150454,6724
1000,0.00166925,7451
1100,0.00190229,8227
1200,0.0020625,9388
1300,0.00223712,10017
1400,0.00248992,11172
1500,0.00295496,12022
1600,0.00320758,12755
1700,0.00347587,14177
1800,0.00343379,14962
1900,0.00383817,16122
2000,0.00382496,17206
2100,0.00412817,18181
2200,0.00440625,19106
2300,0.0046495,19951
2400,0.0048935,20788
2500,0.00483125,22124
2600,0.00509367,22908
2700,0.00545608,24175
2800,0.00531504,25034
2900,0.00562808,25702
3000,0.00570567,26830
