100,0.000174542,433
200,0.000393208,999
300,0.000631375,1712
400,0.000857792,2545
500,0.00110033,3294
600,0.00139658,4181
700,0.00164196,4853
800,0.00191421,5874
900,0.00216471,6546
1000,0.00242763,7460
1100,0.00276529,8533
1200,0.00303775,9301
1300,0.00332133,10135
1400,0.00363767,11122
1500,0.00382117,12180
1600,0.00432342,13441
1700,0.0045355,14085
1800,0.00483758,15122
1900,0.00512471,15969
2000,0.00557158,17543
2100,0.00580633,17891
2200,0.00628583,19092
2300,0.00646812,20021
2400,0.00679671,20763
2500,0.00709625,22004
2600,0.00746829,23058
2700,0.007758,23858
2800,0.00807008,24447
2900,0.00860679,26146
3000,0.008755,27215
